Staff ID,Years of Experience,Absenteeism (Days),Satisfaction Score,Job_ID,Job_Location,Distance_km,Travel_Cost,Skill_Match,Job_Priority,Cost_per_Hour,Job_Hours,Labour_Cost,Total_Cost
S00021,3,1,1.52,J0021,London,206,92.7,0.89,2,31,8,248,340.7
S00022,8,2,4.16,J0022,Glasgow,121,54.45,0.56,4,27,7,189,243.45
S00023,19,4,1.5,J0023,Newcastle,158,71.1,0.8,2,41,11,451,522.1
S00024,4,2,4.18,J0024,Bristol,295,132.75,0.97,1,39,4,156,288.75
S00025,18,4,2.1,J0025,London,67,30.15,0.94,4,25,11,275,305.15
S00026,11,1,4.51,J0026,Glasgow,248,111.6,0.64,4,22,4,88,199.6
S00027,14,1,4.78,J0027,Birmingham,29,13.05,0.93,1,43,8,344,357.05
S00028,18,1,1.6,J0028,Sheffield,94,42.3,0.5,4,32,7,224,266.3
S00029,16,2,2.85,J0029,Leeds,79,35.55,0.51,2,32,7,224,259.55
S00030,3,0,4.92,J0030,Bristol,298,134.1,0.8,4,21,5,105,239.1
S00031,15,2,2.93,J0031,Birmingham,214,96.3,0.68,3,24,9,216,312.3
S00032,4,2,4.45,J0032,Liverpool,21,9.45,0.69,5,36,6,216,225.45
S00033,5,3,3.35,J0033,Birmingham,132,59.4,0.78,2,25,10,250,309.4
S00034,17,3,2.5,J0034,Sheffield,255,114.75,0.6,3,21,11,231,345.75
S00035,7,2,2.14,J0035,Liverpool,183,82.35,0.61,1,23,8,184,266.35
S00036,16,4,1.81,J0036,Bristol,186,83.7,0.74,2,41,6,246,329.7
S00037,14,3,4.05,J0037,Sheffield,156,70.2,0.88,5,30,11,330,400.2
S00038,16,2,2.55,J0038,Manchester,29,13.05,0.81,5,27,6,162,175.05
S00039,7,0,3.05,J0039,Leeds,184,82.8,0.65,1,31,8,248,330.8
S00040,9,4,2.97,J0040,Bristol,202,90.9,0.72,1,27,7,189,279.9
S00041,4,1,3.31,J0041,Manchester,165,74.25,0.59,2,30,8,240,314.25
S00042,11,2,4.46,J0042,Glasgow,181,81.45,0.54,4,41,11,451,532.45
S00043,2,2,4.92,J0043,Bristol,289,130.05,0.89,1,39,6,234,364.05
S00044,12,4,2.63,J0044,Glasgow,67,30.15,0.63,4,27,9,243,273.15
S00045,12,3,4.31,J0045,Liverpool,154,69.3,0.59,3,27,10,270,339.3
S00046,4,3,4.06,J0046,Manchester,158,71.1,0.85,5,36,10,360,431.1
S00047,18,3,3.29,J0047,Leeds,160,72.0,0.81,4,39,9,351,423.0
S00048,7,1,4.82,J0048,Sheffield,53,23.85,0.82,5,39,9,351,374.85
S00049,1,4,1.8,J0049,Nottingham,88,39.6,0.61,4,42,7,294,333.6
S00050,13,4,1.44,J0050,Birmingham,181,81.45,0.62,3,35,11,385,466.45
S00051,6,3,4.42,J0051,London,152,68.4,0.61,1,33,4,132,200.4
S00052,6,3,2.76,J0052,Leeds,122,54.9,0.59,3,30,8,240,294.9
S00053,12,0,4.39,J0053,Manchester,67,30.15,0.83,1,26,10,260,290.15
S00054,8,0,4.57,J0054,Nottingham,193,86.85,0.92,1,35,9,315,401.85
S00055,19,2,1.25,J0055,Leeds,53,23.85,0.86,5,32,8,256,279.85
S00056,5,2,4.53,J0056,Manchester,261,117.45,0.9,3,34,10,340,457.45
S00057,18,4,2.79,J0057,Newcastle,228,102.6,0.7,4,43,9,387,489.6
S00058,5,4,3.04,J0058,Newcastle,145,65.25,0.83,3,35,11,385,450.25
S00059,10,1,3.51,J0059,Glasgow,219,98.55,0.68,5,40,10,400,498.55
S00060,1,1,4.71,J0060,Leeds,215,96.75,0.76,1,42,7,294,390.75
S00061,10,0,1.08,J0061,Newcastle,36,16.2,0.74,5,43,4,172,188.2
S00062,5,2,2.91,J0062,Manchester,162,72.9,0.59,2,28,4,112,184.9
S00063,12,0,3.75,J0063,Glasgow,289,130.05,0.69,2,22,9,198,328.05
S00064,7,0,3.89,J0064,Manchester,290,130.5,0.98,4,38,10,380,510.5
S00065,9,2,3.77,J0065,Glasgow,148,66.6,0.62,5,39,7,273,339.6
S00066,12,1,1.54,J0066,Leeds,23,10.35,0.57,4,24,5,120,130.35
S00067,1,2,2.2,J0067,Nottingham,22,9.9,0.71,4,29,8,232,241.9
S00068,11,3,2.43,J0068,Sheffield,261,117.45,0.9,2,36,8,288,405.45
S00069,15,3,4.22,J0069,Bristol,82,36.9,0.79,4,34,6,204,240.9
S00070,2,3,2.12,J0070,Nottingham,179,80.55,0.84,2,42,7,294,374.55
S00071,7,4,1.84,J0071,Liverpool,198,89.1,0.59,1,44,10,440,529.1
S00072,12,1,4.83,J0072,Manchester,117,52.65,0.81,5,27,11,297,349.65
S00073,18,1,1.04,J0073,Liverpool,118,53.1,0.66,4,34,11,374,427.1
S00074,3,4,4.99,J0074,Nottingham,226,101.7,0.92,2,40,6,240,341.7
S00075,7,0,3.71,J0075,Glasgow,170,76.5,0.81,3,33,9,297,373.5
S00076,11,3,4.31,J0076,Bristol,136,61.2,0.6,4,39,10,390,451.2
S00077,18,3,2.18,J0077,Bristol,268,120.6,0.53,1,26,6,156,276.6
S00078,12,0,1.06,J0078,London,59,26.55,0.52,1,40,4,160,186.55
S00079,6,2,3.95,J0079,Bristol,135,60.75,0.69,3,42,8,336,396.75
S00080,5,2,4.34,J0080,Sheffield,292,131.4,0.63,2,31,10,310,441.4
S00081,1,1,3.96,J0081,Bristol,270,121.5,0.82,4,36,6,216,337.5
S00082,12,4,1.57,J0082,Nottingham,166,74.7,0.75,2,36,4,144,218.7
S00083,11,1,4.01,J0083,London,91,40.95,0.63,1,29,7,203,243.95
S00084,4,2,4.08,J0084,Nottingham,59,26.55,0.57,2,38,6,228,254.55
S00085,18,0,3.63,J0085,Nottingham,292,131.4,0.56,1,33,9,297,428.4
S00086,4,1,4.06,J0086,Birmingham,182,81.9,0.93,2,30,9,270,351.9
S00087,17,3,4.38,J0087,London,12,5.4,0.62,3,21,9,189,194.4
S00088,2,3,3.45,J0088,Nottingham,251,112.95,0.83,5,37,10,370,482.95
S00089,2,0,1.35,J0089,Birmingham,259,116.55,0.91,3,26,11,286,402.55
S00090,12,2,2.95,J0090,Birmingham,58,26.1,0.81,3,31,11,341,367.1
S00091,6,3,1.31,J0091,London,253,113.85,0.93,5,21,8,168,281.85
S00092,10,3,2.63,J0092,Liverpool,243,109.35,0.7,5,39,6,234,343.35
S00093,16,4,2.63,J0093,Glasgow,233,104.85,0.98,4,37,7,259,363.85
S00094,14,1,1.26,J0094,Sheffield,71,31.95,0.57,4,25,6,150,181.95
S00095,7,2,2.4,J0095,Glasgow,55,24.75,0.55,3,43,8,344,368.75
S00096,19,1,1.44,J0096,Bristol,101,45.45,0.83,3,29,4,116,161.45
S00097,17,2,4.23,J0097,Sheffield,96,43.2,0.97,1,39,8,312,355.2
S00098,9,3,4.79,J0098,Bristol,268,120.6,0.9,1,34,9,306,426.6
S00099,13,4,1.29,J0099,Nottingham,295,132.75,0.54,4,24,10,240,372.75
S00100,5,1,4.82,J0100,Manchester,100,45.0,0.64,4,39,4,156,201.0
S00101,5,3,3.09,J0101,London,92,41.4,0.97,1,22,10,220,261.4
S00102,10,2,2.2,J0102,Sheffield,82,36.9,0.63,1,24,9,216,252.9
S00103,10,1,1.31,J0103,Sheffield,292,131.4,0.89,2,44,5,220,351.4
S00104,7,1,3.0,J0104,Nottingham,124,55.8,0.91,2,27,8,216,271.8
S00105,15,3,4.18,J0105,Liverpool,169,76.05,0.75,1,27,8,216,292.05
S00106,7,1,3.83,J0106,Birmingham,186,83.7,0.69,2,27,7,189,272.7
S00107,15,4,1.2,J0107,Nottingham,227,102.15,0.73,5,31,6,186,288.15
S00108,3,4,1.29,J0108,Newcastle,11,4.95,0.61,4,43,4,172,176.95
S00109,19,3,2.61,J0109,Birmingham,267,120.15,0.94,4,42,11,462,582.15
S00110,10,2,2.18,J0110,London,165,74.25,0.73,1,27,10,270,344.25
S00111,15,3,1.93,J0111,Birmingham,155,69.75,0.94,3,30,4,120,189.75
S00112,3,4,2.12,J0112,Liverpool,89,40.05,0.55,1,33,7,231,271.05
S00113,6,0,4.21,J0113,Birmingham,151,67.95,0.99,2,27,7,189,256.95
S00114,12,0,4.72,J0114,London,116,52.2,0.72,3,43,10,430,482.2
S00115,15,1,2.62,J0115,Liverpool,40,18.0,0.52,2,29,11,319,337.0
S00116,6,1,4.62,J0116,Glasgow,289,130.05,0.52,5,26,6,156,286.05
S00117,13,0,2.29,J0117,Sheffield,192,86.4,0.87,2,36,10,360,446.4
S00118,19,4,2.91,J0118,Sheffield,86,38.7,0.83,5,23,10,230,268.7
S00119,3,1,1.9,J0119,Bristol,6,2.7,0.9,5,32,9,288,290.7
S00120,8,3,3.56,J0120,Glasgow,201,90.45,0.55,2,23,11,253,343.45
S00121,8,3,4.92,J0121,Glasgow,15,6.75,0.52,2,24,6,144,150.75
S00122,15,4,3.41,J0122,Birmingham,238,107.1,0.75,5,41,8,328,435.1
S00123,4,1,2.43,J0123,Sheffield,199,89.55,0.69,3,23,9,207,296.55
S00124,19,3,3.59,J0124,London,123,55.35,0.73,5,37,5,185,240.35
S00125,3,1,1.49,J0125,Leeds,24,10.8,1.0,4,25,11,275,285.8
S00126,13,1,4.55,J0126,Leeds,265,119.25,0.99,5,43,6,258,377.25
S00127,8,3,3.01,J0127,Liverpool,297,133.65,0.97,3,43,7,301,434.65
S00128,16,0,2.8,J0128,Sheffield,260,117.0,0.89,4,42,9,378,495.0
S00129,13,3,3.34,J0129,Sheffield,226,101.7,0.68,1,41,6,246,347.7
S00130,3,4,3.5,J0130,Leeds,230,103.5,0.71,1,21,4,84,187.5
S00131,16,2,1.29,J0131,Sheffield,57,25.65,0.77,3,42,10,420,445.65
S00132,9,3,3.73,J0132,Birmingham,284,127.8,0.92,5,30,5,150,277.8
S00133,14,1,1.97,J0133,Newcastle,85,38.25,0.53,2,33,8,264,302.25
S00134,13,1,3.86,J0134,Manchester,206,92.7,0.71,3,24,10,240,332.7
S00135,7,3,4.29,J0135,Glasgow,162,72.9,0.54,4,25,4,100,172.9
S00136,15,2,4.22,J0136,Bristol,124,55.8,0.76,4,29,4,116,171.8
S00137,7,3,3.21,J0137,Liverpool,63,28.35,0.95,1,27,5,135,163.35
S00138,6,2,3.08,J0138,Newcastle,219,98.55,0.89,4,33,8,264,362.55
S00139,2,2,1.57,J0139,Leeds,132,59.4,0.61,3,43,7,301,360.4
S00140,9,4,4.1,J0140,Glasgow,228,102.6,0.99,4,22,9,198,300.6
S00141,17,1,2.09,J0141,Sheffield,213,95.85,0.83,3,31,11,341,436.85
S00142,5,1,2.99,J0142,Bristol,119,53.55,0.51,2,35,8,280,333.55
S00143,12,2,2.14,J0143,Sheffield,213,95.85,0.63,1,42,11,462,557.85
S00144,1,1,1.54,J0144,London,18,8.1,0.63,4,36,6,216,224.1
S00145,10,0,3.52,J0145,London,13,5.85,0.53,3,20,4,80,85.85
S00146,11,2,1.22,J0146,Bristol,44,19.8,0.98,5,42,6,252,271.8
S00147,16,1,3.99,J0147,Bristol,241,108.45,0.74,1,29,7,203,311.45
S00148,14,0,2.27,J0148,Leeds,285,128.25,0.95,2,44,6,264,392.25
S00149,8,4,1.0,J0149,Bristol,205,92.25,0.66,3,42,8,336,428.25
S00150,17,1,3.04,J0150,Birmingham,250,112.5,0.56,2,29,6,174,286.5
S00151,18,0,1.19,J0151,Sheffield,282,126.9,0.74,2,40,7,280,406.9
S00152,12,3,2.1,J0152,Newcastle,239,107.55,0.56,4,43,7,301,408.55
S00153,17,3,3.83,J0153,Nottingham,8,3.6,0.74,4,21,7,147,150.6
S00154,14,0,1.25,J0154,Bristol,158,71.1,0.96,3,28,8,224,295.1
S00155,16,2,4.36,J0155,Liverpool,33,14.85,0.76,5,41,7,287,301.85
S00156,14,2,1.02,J0156,London,113,50.85,0.81,3,32,4,128,178.85
S00157,9,1,1.99,J0157,Birmingham,102,45.9,0.58,5,44,10,440,485.9
S00158,4,3,3.96,J0158,Glasgow,219,98.55,0.52,2,35,7,245,343.55
S00159,11,2,2.27,J0159,Nottingham,297,133.65,0.56,1,37,6,222,355.65
S00160,6,2,1.41,J0160,Newcastle,79,35.55,0.8,3,38,9,342,377.55
S00161,15,3,2.44,J0161,Nottingham,150,67.5,0.55,3,31,6,186,253.5
S00162,5,4,2.08,J0162,Bristol,132,59.4,0.69,5,27,9,243,302.4
S00163,11,2,4.37,J0163,Leeds,46,20.7,0.78,2,36,6,216,236.7
S00164,18,0,2.25,J0164,London,45,20.25,0.69,2,34,8,272,292.25
S00165,13,1,4.16,J0165,London,38,17.1,0.58,5,29,6,174,191.1
S00166,11,2,4.57,J0166,Glasgow,21,9.45,0.64,2,34,8,272,281.45
S00167,14,2,2.74,J0167,Leeds,169,76.05,0.96,4,34,8,272,348.05
S00168,18,4,4.64,J0168,Sheffield,157,70.65,0.84,1,42,7,294,364.65
S00169,19,0,2.51,J0169,Manchester,80,36.0,0.75,3,26,4,104,140.0
S00170,15,1,4.86,J0170,Birmingham,91,40.95,0.51,1,32,9,288,328.95
S00171,9,2,1.36,J0171,London,121,54.45,1.0,3,36,7,252,306.45
S00172,8,1,3.75,J0172,Liverpool,31,13.95,0.84,4,28,7,196,209.95
S00173,1,3,2.98,J0173,London,291,130.95,0.66,2,27,10,270,400.95
S00174,4,2,2.55,J0174,Nottingham,138,62.1,0.94,5,39,8,312,374.1
S00175,14,2,3.53,J0175,London,223,100.35,0.63,4,40,8,320,420.35
S00176,2,3,3.82,J0176,London,172,77.4,0.77,1,37,9,333,410.4
S00177,16,4,1.02,J0177,Manchester,102,45.9,0.82,5,32,6,192,237.9
S00178,3,2,1.67,J0178,Manchester,272,122.4,0.61,2,35,6,210,332.4
S00179,8,1,3.85,J0179,Newcastle,241,108.45,0.99,4,28,11,308,416.45
S00180,6,0,3.67,J0180,Sheffield,177,79.65,0.87,5,31,7,217,296.65
S00181,16,1,4.86,J0181,Liverpool,194,87.3,0.78,4,31,11,341,428.3
S00182,16,4,4.04,J0182,London,126,56.7,0.59,4,25,5,125,181.7
S00183,7,0,4.8,J0183,London,50,22.5,0.53,2,38,5,190,212.5
S00184,13,1,3.81,J0184,Birmingham,68,30.6,0.66,3,26,11,286,316.6
S00185,13,1,2.19,J0185,Manchester,134,60.3,0.88,5,44,6,264,324.3
S00186,5,3,1.42,J0186,Liverpool,197,88.65,0.63,2,22,5,110,198.65
S00187,18,4,4.13,J0187,Glasgow,185,83.25,0.77,4,35,10,350,433.25
S00188,15,3,3.58,J0188,Newcastle,296,133.2,0.86,2,37,6,222,355.2
S00189,18,0,1.19,J0189,Sheffield,286,128.7,0.55,3,35,8,280,408.7
S00190,2,3,2.44,J0190,Leeds,33,14.85,0.84,5,42,7,294,308.85
S00191,10,4,4.83,J0191,Sheffield,153,68.85,0.55,3,26,4,104,172.85
S00192,13,2,3.0,J0192,Nottingham,271,121.95,0.98,1,23,7,161,282.95
S00193,18,2,2.73,J0193,London,15,6.75,0.74,5,44,11,484,490.75
S00194,15,0,2.83,J0194,Newcastle,168,75.6,0.58,3,27,6,162,237.6
S00195,12,2,1.84,J0195,Nottingham,117,52.65,0.67,4,32,11,352,404.65
S00196,15,3,2.47,J0196,Liverpool,191,85.95,0.71,5,32,10,320,405.95
S00197,13,0,2.48,J0197,Leeds,299,134.55,0.88,5,36,6,216,350.55
S00198,18,4,1.21,J0198,Manchester,236,106.2,0.87,2,36,7,252,358.2
S00199,15,0,4.07,J0199,Newcastle,231,103.95,0.81,4,24,10,240,343.95
S00200,11,0,2.67,J0200,Newcastle,102,45.9,0.55,1,25,10,250,295.9
S00201,19,1,4.29,J0201,London,59,26.55,0.58,3,38,10,380,406.55
S00202,3,1,4.4,J0202,Bristol,115,51.75,0.55,2,32,9,288,339.75
S00203,7,0,1.85,J0203,Newcastle,156,70.2,0.79,3,44,6,264,334.2
S00204,14,2,3.63,J0204,Birmingham,250,112.5,0.94,1,33,5,165,277.5
S00205,14,1,2.89,J0205,Leeds,73,32.85,0.72,1,41,5,205,237.85
S00206,13,4,4.52,J0206,Leeds,293,131.85,0.58,5,23,6,138,269.85
S00207,12,3,1.86,J0207,Birmingham,254,114.3,0.78,1,26,6,156,270.3
S00208,9,1,3.71,J0208,Glasgow,40,18.0,0.91,3,27,9,243,261.0
S00209,1,0,3.43,J0209,Birmingham,243,109.35,0.87,4,44,5,220,329.35
S00210,19,2,2.18,J0210,Birmingham,152,68.4,0.94,4,32,6,192,260.4
S00211,11,3,1.55,J0211,Leeds,231,103.95,0.64,5,25,6,150,253.95
S00212,19,1,3.61,J0212,Sheffield,248,111.6,0.6,3,25,11,275,386.6
S00213,18,2,3.95,J0213,Leeds,205,92.25,0.94,3,43,9,387,479.25
S00214,12,2,2.26,J0214,Bristol,158,71.1,0.83,1,40,9,360,431.1
S00215,1,2,3.58,J0215,London,77,34.65,0.66,3,22,7,154,188.65
S00216,19,0,2.58,J0216,Nottingham,205,92.25,0.87,2,22,9,198,290.25
S00217,17,4,3.85,J0217,Sheffield,21,9.45,0.91,1,32,4,128,137.45
S00218,5,2,1.8,J0218,Manchester,133,59.85,0.81,2,41,5,205,264.85
S00219,3,3,4.56,J0219,Nottingham,221,99.45,0.84,5,21,7,147,246.45
S00220,2,1,2.15,J0220,London,65,29.25,0.69,4,35,4,140,169.25
S00221,3,3,2.47,J0221,Bristol,108,48.6,0.77,5,41,6,246,294.6
S00222,8,0,1.23,J0222,Bristol,46,20.7,0.76,4,25,11,275,295.7
S00223,16,0,1.45,J0223,Manchester,29,13.05,0.92,5,27,11,297,310.05
S00224,6,3,3.06,J0224,Sheffield,43,19.35,0.92,3,42,6,252,271.35
S00225,13,4,2.07,J0225,Glasgow,295,132.75,0.92,2,27,7,189,321.75
S00226,16,0,4.34,J0226,Birmingham,135,60.75,0.51,4,44,9,396,456.75
S00227,16,0,1.06,J0227,Sheffield,233,104.85,0.87,1,25,10,250,354.85
S00228,3,3,2.52,J0228,Glasgow,112,50.4,0.88,2,33,11,363,413.4
S00229,13,0,2.35,J0229,Bristol,176,79.2,0.84,1,22,10,220,299.2
S00230,14,4,1.08,J0230,Leeds,106,47.7,0.88,2,29,6,174,221.7
S00231,8,4,1.5,J0231,London,16,7.2,0.92,2,22,10,220,227.2
S00232,12,4,2.65,J0232,Manchester,279,125.55,0.74,5,31,8,248,373.55
S00233,8,1,2.97,J0233,London,105,47.25,0.75,4,36,7,252,299.25
S00234,9,4,2.62,J0234,Liverpool,48,21.6,0.56,4,24,4,96,117.6
S00235,1,4,3.12,J0235,Liverpool,21,9.45,0.69,2,39,7,273,282.45
S00236,6,1,3.38,J0236,Sheffield,61,27.45,0.82,3,44,5,220,247.45
S00237,19,2,1.04,J0237,Bristol,16,7.2,0.89,3,28,9,252,259.2
S00238,11,0,2.86,J0238,Bristol,84,37.8,0.61,1,40,9,360,397.8
S00239,11,4,4.85,J0239,Birmingham,220,99.0,0.57,1,39,7,273,372.0
S00240,13,0,3.08,J0240,Birmingham,268,120.6,0.83,5,26,6,156,276.6
S00241,11,3,3.71,J0241,Birmingham,153,68.85,0.5,2,41,6,246,314.85
S00242,18,0,2.25,J0242,Leeds,85,38.25,0.59,1,23,8,184,222.25
S00243,15,1,4.1,J0243,Nottingham,219,98.55,0.51,1,32,8,256,354.55
S00244,1,0,4.09,J0244,Newcastle,202,90.9,0.58,2,32,9,288,378.9
S00245,7,0,3.09,J0245,Nottingham,204,91.8,0.59,5,29,8,232,323.8
S00246,13,0,4.9,J0246,London,29,13.05,0.69,1,37,11,407,420.05
S00247,12,2,1.5,J0247,Nottingham,93,41.85,0.7,5,36,11,396,437.85
S00248,18,2,1.07,J0248,Leeds,272,122.4,0.94,4,39,4,156,278.4
S00249,19,3,4.08,J0249,London,147,66.15,0.76,5,39,8,312,378.15
S00250,15,1,4.23,J0250,Nottingham,63,28.35,0.86,3,32,4,128,156.35
S00251,8,0,1.48,J0251,Leeds,30,13.5,0.55,3,36,8,288,301.5
S00252,19,0,2.06,J0252,Newcastle,51,22.95,0.61,5,41,9,369,391.95
S00253,10,0,1.07,J0253,Nottingham,292,131.4,0.85,3,23,9,207,338.4
S00254,7,0,2.17,J0254,Leeds,270,121.5,0.53,4,20,4,80,201.5
S00255,18,2,4.09,J0255,Birmingham,20,9.0,0.74,2,20,7,140,149.0
S00256,16,3,3.07,J0256,Bristol,203,91.35,0.8,3,34,9,306,397.35
S00257,6,4,2.39,J0257,Birmingham,286,128.7,0.8,3,32,7,224,352.7
S00258,9,1,2.49,J0258,Bristol,90,40.5,0.51,5,36,6,216,256.5
S00259,13,0,1.01,J0259,Manchester,254,114.3,0.66,4,43,11,473,587.3
S00260,8,3,2.2,J0260,Manchester,274,123.3,0.82,2,27,4,108,231.3
S00261,16,4,3.59,J0261,Manchester,121,54.45,0.57,5,37,10,370,424.45
S00262,13,3,4.9,J0262,Newcastle,11,4.95,0.85,5,32,9,288,292.95
S00263,13,2,4.39,J0263,Birmingham,141,63.45,0.87,4,42,5,210,273.45
S00264,17,4,1.09,J0264,Bristol,180,81.0,0.99,2,33,6,198,279.0
S00265,5,3,4.59,J0265,Leeds,219,98.55,0.6,4,27,7,189,287.55
S00266,17,2,4.13,J0266,London,86,38.7,0.91,2,27,9,243,281.7
S00267,9,3,4.12,J0267,Leeds,227,102.15,0.76,4,34,4,136,238.15
S00268,2,3,2.83,J0268,London,107,48.15,0.69,5,32,10,320,368.15
S00269,18,4,2.59,J0269,Liverpool,277,124.65,0.56,5,26,8,208,332.65
S00270,9,2,2.21,J0270,Leeds,18,8.1,0.87,1,24,10,240,248.1
S00271,6,0,1.26,J0271,Nottingham,163,73.35,0.62,3,36,5,180,253.35
S00272,11,1,1.91,J0272,Nottingham,156,70.2,0.69,4,44,7,308,378.2
S00273,6,4,1.99,J0273,Sheffield,112,50.4,0.53,1,35,6,210,260.4
S00274,6,2,2.94,J0274,Birmingham,192,86.4,0.9,3,42,10,420,506.4
S00275,13,3,3.99,J0275,London,102,45.9,0.88,4,21,4,84,129.9
S00276,11,2,2.9,J0276,London,135,60.75,0.87,2,41,5,205,265.75
S00277,14,1,1.23,J0277,Birmingham,297,133.65,0.65,3,37,4,148,281.65
S00278,2,1,4.83,J0278,Newcastle,175,78.75,0.59,5,36,9,324,402.75
S00279,8,0,4.77,J0279,Sheffield,187,84.15,0.82,1,26,8,208,292.15
S00280,3,0,4.14,J0280,Newcastle,43,19.35,0.75,3,32,6,192,211.35
S00281,3,1,4.97,J0281,Newcastle,19,8.55,0.59,3,37,4,148,156.55
S00282,1,4,3.18,J0282,Newcastle,8,3.6,0.84,5,33,7,231,234.6
S00283,19,4,4.85,J0283,Birmingham,214,96.3,1.0,4,37,9,333,429.3
S00284,18,3,1.3,J0284,Newcastle,165,74.25,0.87,2,32,9,288,362.25
S00285,17,0,2.46,J0285,Nottingham,20,9.0,0.87,5,30,6,180,189.0
S00286,13,3,1.9,J0286,Manchester,112,50.4,0.98,2,40,9,360,410.4
S00287,3,0,1.78,J0287,Liverpool,231,103.95,0.6,4,40,7,280,383.95
S00288,1,1,1.56,J0288,London,174,78.3,0.78,3,35,4,140,218.3
S00289,4,4,3.49,J0289,London,38,17.1,0.99,2,42,6,252,269.1
S00290,13,4,4.13,J0290,Liverpool,255,114.75,0.58,1,36,11,396,510.75
S00291,17,1,3.31,J0291,Birmingham,251,112.95,0.85,1,27,9,243,355.95
S00292,11,3,1.59,J0292,Leeds,273,122.85,0.79,5,38,9,342,464.85
S00293,2,3,4.24,J0293,Birmingham,145,65.25,0.79,4,39,7,273,338.25
S00294,16,2,3.54,J0294,London,278,125.1,0.85,5,34,8,272,397.1
S00295,2,0,2.55,J0295,London,100,45.0,0.96,5,28,8,224,269.0
S00296,19,3,3.7,J0296,Liverpool,231,103.95,0.89,5,39,10,390,493.95
S00297,19,1,2.04,J0297,Newcastle,43,19.35,0.53,1,29,9,261,280.35
S00298,16,3,2.38,J0298,Birmingham,33,14.85,0.93,1,31,11,341,355.85
S00299,19,4,4.67,J0299,Bristol,249,112.05,0.61,5,40,4,160,272.05
S00300,9,0,2.16,J0300,Liverpool,240,108.0,0.69,1,42,6,252,360.0
S00301,1,2,2.88,J0301,Nottingham,189,85.05,0.73,4,39,9,351,436.05
S00302,10,0,4.56,J0302,London,276,124.2,0.74,5,20,5,100,224.2
S00303,19,4,3.83,J0303,Liverpool,240,108.0,0.72,1,44,6,264,372.0
S00304,1,4,1.25,J0304,Birmingham,243,109.35,0.97,2,39,10,390,499.35
S00305,2,4,1.59,J0305,London,270,121.5,0.85,5,28,8,224,345.5
S00306,16,4,1.03,J0306,Leeds,69,31.05,0.82,5,41,11,451,482.05
S00307,12,1,3.52,J0307,Liverpool,181,81.45,0.52,4,34,9,306,387.45
S00308,8,2,2.79,J0308,Sheffield,7,3.15,0.95,3,20,7,140,143.15
S00309,18,4,1.54,J0309,London,146,65.7,0.95,3,31,5,155,220.7
S00310,2,4,4.83,J0310,Birmingham,162,72.9,0.89,4,22,9,198,270.9
S00311,13,3,3.12,J0311,Manchester,150,67.5,0.5,4,30,11,330,397.5
S00312,6,2,1.97,J0312,Bristol,297,133.65,0.53,4,21,10,210,343.65
S00313,6,0,3.0,J0313,Glasgow,157,70.65,0.61,3,35,4,140,210.65
S00314,9,2,3.72,J0314,Newcastle,197,88.65,0.57,4,28,5,140,228.65
S00315,16,2,1.3,J0315,Glasgow,77,34.65,0.7,1,34,10,340,374.65
S00316,11,2,2.1,J0316,Birmingham,144,64.8,0.96,5,31,9,279,343.8
S00317,7,4,4.23,J0317,Nottingham,191,85.95,0.74,5,20,4,80,165.95
S00318,10,4,2.84,J0318,Nottingham,297,133.65,0.51,2,32,5,160,293.65
