Staff ID,Job_ID,Job_Location,Job_Priority,Skill_Match,Satisfaction Score,Distance_km,Job_Hours,Total_Cost
S00177,J0177,Manchester,5,0.82,1.02,102,6,237.9
S00364,J0364,Liverpool,5,0.99,2.43,109,5,239.05
S00888,J0888,Manchester,5,0.93,1.63,89,5,240.05
S00124,J0124,London,5,0.73,3.59,123,5,240.35
S00219,J0219,Nottingham,5,0.84,4.56,221,7,246.45
S00678,J0678,London,5,0.76,3.18,175,6,246.75
S00802,J0802,Newcastle,5,0.73,1.83,285,5,248.25
S00358,J0358,Newcastle,5,0.51,1.65,273,6,248.85
S00990,J0990,Nottingham,5,0.87,3.6,162,4,248.9
S00858,J0858,Birmingham,5,0.53,1.03,54,9,249.3
S00937,J0937,London,5,0.91,4.55,40,8,250.0
S00452,J0452,London,5,0.56,1.9,214,7,250.3
S00958,J0958,Leeds,5,0.64,2.44,290,5,250.5
S00655,J0655,Liverpool,5,0.63,3.55,235,5,250.75
S00211,J0211,Leeds,5,0.64,1.55,231,6,253.95
S00922,J0922,Leeds,5,0.86,1.75,54,11,255.3
S00001,J0001,Leeds,5,0.61,2.78,108,9,255.6
S00258,J0258,Bristol,5,0.51,2.49,90,6,256.5
S00401,J0401,London,5,0.78,1.88,63,10,258.35
S00845,J0845,Nottingham,5,0.91,2.73,13,8,261.85
S00992,J0992,Newcastle,5,0.53,3.86,162,9,261.9
S00744,J0744,Birmingham,5,0.57,2.57,151,5,262.95
S00320,J0320,Newcastle,5,0.52,2.73,202,4,266.9
S00118,J0118,Sheffield,5,0.83,2.91,86,10,268.7
S00295,J0295,London,5,0.96,2.55,100,8,269.0
S00206,J0206,Leeds,5,0.58,4.52,293,6,269.85
S00642,J0642,London,5,0.84,1.41,25,10,271.25
S00146,J0146,Bristol,5,0.98,1.22,44,6,271.8
S00299,J0299,Bristol,5,0.61,4.67,249,4,272.05
S00240,J0240,Birmingham,5,0.83,3.08,268,6,276.6
S00132,J0132,Birmingham,5,0.92,3.73,284,5,277.8
S00403,J0403,Liverpool,5,0.55,1.14,273,5,277.85
S00055,J0055,Leeds,5,0.86,1.25,53,8,279.85
S00691,J0691,Newcastle,5,0.91,4.58,112,10,280.4
S00091,J0091,London,5,0.93,1.31,253,8,281.85
S00840,J0840,Sheffield,5,0.52,1.27,122,10,284.9
S00116,J0116,Glasgow,5,0.52,4.62,289,6,286.05
S00886,J0886,Sheffield,5,0.83,3.32,295,7,286.75
S00951,J0951,Birmingham,5,0.97,4.43,283,8,287.35
S00107,J0107,Nottingham,5,0.73,1.2,227,6,288.15
S00623,J0623,Bristol,5,0.61,1.62,54,11,288.3
S00985,J0985,Leeds,5,0.88,2.37,53,7,289.85
S00489,J0489,Manchester,5,0.87,4.04,151,6,289.95
S00119,J0119,Bristol,5,0.9,1.9,6,9,290.7
S00519,J0519,Bristol,5,0.69,2.54,277,6,292.65
S00262,J0262,Newcastle,5,0.85,4.9,11,9,292.95
S00957,J0957,Sheffield,5,0.59,1.09,125,7,294.25
S00221,J0221,Bristol,5,0.77,2.47,108,6,294.6
S00527,J0527,Liverpool,5,0.98,3.82,68,6,294.6
S00613,J0613,Leeds,5,0.74,2.0,97,7,295.65
S00180,J0180,Sheffield,5,0.87,3.67,177,7,296.65
S00971,J0971,London,5,0.56,3.25,241,9,297.45
S00641,J0641,Newcastle,5,0.94,4.91,44,10,299.8
S00741,J0741,Nottingham,5,0.71,4.76,80,6,300.0
S00611,J0611,Nottingham,5,0.73,1.06,247,7,300.15
S00155,J0155,Liverpool,5,0.76,4.36,33,7,301.85
S00162,J0162,Bristol,5,0.69,2.08,132,9,302.4
S00854,J0854,Newcastle,5,0.5,2.86,53,10,303.85
S00973,J0973,Newcastle,5,0.89,4.46,262,7,306.9
S00733,J0733,Bristol,5,0.99,4.31,197,5,308.65
S00190,J0190,Leeds,5,0.84,2.44,33,7,308.85
S00677,J0677,London,5,0.87,4.73,268,7,309.6
S00223,J0223,Manchester,5,0.92,1.45,29,11,310.05
S00465,J0465,Glasgow,5,0.99,2.3,83,7,310.35
S00664,J0664,Sheffield,5,0.66,1.86,265,6,311.25
S00805,J0805,London,5,0.97,1.82,55,7,311.75
S00435,J0435,London,5,0.87,2.33,167,8,323.15
S00399,J0399,Nottingham,5,0.78,1.41,96,8,323.2
S00245,J0245,Nottingham,5,0.59,3.09,204,8,323.8
S00185,J0185,Manchester,5,0.88,2.19,134,6,324.3
S00643,J0643,Manchester,5,0.63,1.03,229,7,327.05
S00924,J0924,Glasgow,5,0.7,3.8,62,7,328.9
S00692,J0692,Liverpool,5,0.53,3.67,255,6,330.75
S00531,J0531,Glasgow,5,0.91,1.21,281,5,331.45
S00825,J0825,Glasgow,5,0.74,2.81,94,10,332.3
S00269,J0269,Liverpool,5,0.56,2.59,277,8,332.65
S00003,J0003,Liverpool,5,0.79,2.96,137,8,333.65
S00591,J0591,Leeds,5,0.57,2.69,91,9,337.95
S00963,J0963,Sheffield,5,0.74,1.93,165,6,338.25
S00065,J0065,Glasgow,5,0.62,3.77,148,7,339.6
S00092,J0092,Liverpool,5,0.7,2.63,243,6,343.35
S00316,J0316,Birmingham,5,0.96,2.1,144,9,343.8
S00305,J0305,London,5,0.85,1.59,270,8,345.5
S00346,J0346,Birmingham,5,0.89,4.63,13,9,347.85
S00072,J0072,Manchester,5,0.81,4.83,117,11,349.65
S00197,J0197,Leeds,5,0.88,2.48,299,6,350.55
S00903,J0903,Manchester,5,0.86,4.29,113,10,350.85
S00393,J0393,Glasgow,5,0.51,3.26,241,7,353.45
S00369,J0369,Sheffield,5,0.77,2.29,230,6,355.5
S00729,J0729,Newcastle,5,0.79,3.06,9,11,356.05
S00941,J0941,Liverpool,5,0.79,4.3,162,8,360.9
S00975,J0975,Nottingham,5,0.93,3.32,184,9,361.8
S00911,J0911,Nottingham,5,0.62,2.3,200,8,362.0
S00268,J0268,London,5,0.69,2.83,107,10,368.15
S00693,J0693,Bristol,5,0.69,4.15,134,11,368.3
S00232,J0232,Manchester,5,0.74,2.65,279,8,373.55
S00174,J0174,Nottingham,5,0.94,2.55,138,8,374.1
S00048,J0048,Sheffield,5,0.82,4.82,53,9,374.85
S00126,J0126,Leeds,5,0.99,4.55,265,6,377.25
S00249,J0249,London,5,0.76,4.08,147,8,378.15
S00328,J0328,London,5,0.92,4.17,264,9,379.8
S00512,J0512,Sheffield,5,0.83,3.25,185,10,383.25
S00740,J0740,Leeds,5,0.96,3.02,236,10,386.2
S00892,J0892,London,5,0.63,1.81,171,8,388.95
S00252,J0252,Newcastle,5,0.61,2.06,51,9,391.95
S00931,J0931,Birmingham,5,0.79,1.97,213,10,395.85
S00294,J0294,London,5,0.85,3.54,278,8,397.1
S00005,J0005,Glasgow,5,0.79,4.98,131,11,399.95
S00037,J0037,Sheffield,5,0.88,4.05,156,11,400.2
S00345,J0345,Nottingham,5,0.91,4.17,181,10,401.45
S00681,J0681,Nottingham,5,0.91,3.97,288,7,402.6
S00278,J0278,Newcastle,5,0.59,4.83,175,9,402.75
S00904,J0904,Liverpool,5,0.93,3.64,40,9,405.0
S00196,J0196,Liverpool,5,0.71,2.47,191,10,405.95
S00374,J0374,Sheffield,5,0.57,1.12,265,7,406.25
S00930,J0930,Nottingham,5,0.95,4.52,106,10,417.7
S00669,J0669,Glasgow,5,0.94,3.93,122,11,417.9
S00006,J0006,Birmingham,5,0.74,4.52,110,9,418.5
S00912,J0912,Newcastle,5,0.65,2.08,273,8,418.85
S00737,J0737,Nottingham,5,0.57,4.81,149,8,419.05
S00632,J0632,Bristol,5,0.79,1.06,299,9,422.55
S00261,J0261,Manchester,5,0.57,3.59,121,10,424.45
S00684,J0684,Glasgow,5,0.72,1.27,179,8,424.55
S00849,J0849,Newcastle,5,0.9,1.88,129,9,427.05
S00551,J0551,Birmingham,5,0.87,4.62,152,10,428.4
S00046,J0046,Manchester,5,0.85,4.06,158,10,431.1
S00122,J0122,Birmingham,5,0.75,3.41,238,8,435.1
S00579,J0579,London,5,0.54,2.11,88,9,435.6
S00522,J0522,Leeds,5,0.9,1.05,13,10,435.85
S00247,J0247,Nottingham,5,0.7,1.5,93,11,437.85
S00454,J0454,Nottingham,5,0.55,2.22,196,8,440.2
S00927,J0927,Nottingham,5,0.89,1.12,219,9,440.55
S00417,J0417,Glasgow,5,0.88,4.57,164,9,442.8
S00499,J0499,Birmingham,5,0.67,4.68,275,8,443.75
S00444,J0444,Nottingham,5,0.99,1.15,246,8,446.7
S00468,J0468,Birmingham,5,0.66,1.73,230,8,455.5
S00760,J0760,Manchester,5,0.99,1.47,249,8,464.05
S00292,J0292,Leeds,5,0.79,1.59,273,9,464.85
S00438,J0438,Leeds,5,0.9,3.62,228,9,480.6
S00306,J0306,Leeds,5,0.82,1.03,69,11,482.05
S00088,J0088,Nottingham,5,0.83,3.45,251,10,482.95
S00739,J0739,Nottingham,5,0.6,2.42,140,10,483.0
S00796,J0796,Liverpool,5,0.73,1.46,275,10,483.75
S00157,J0157,Birmingham,5,0.58,1.99,102,10,485.9
S00837,J0837,Sheffield,5,0.87,2.56,177,11,486.65
S00751,J0751,Manchester,5,0.72,4.44,196,10,488.2
S00784,J0784,Nottingham,5,0.66,3.23,269,9,490.05
S00193,J0193,London,5,0.74,2.73,15,11,490.75
S00296,J0296,Liverpool,5,0.89,3.7,231,10,493.95
S00800,J0800,London,5,0.53,1.57,121,11,494.45
S00884,J0884,Glasgow,5,0.57,3.62,258,10,496.1
S00059,J0059,Glasgow,5,0.68,3.51,219,10,498.55
S00449,J0449,Birmingham,5,1.0,3.09,197,10,498.65
S00745,J0745,Manchester,5,0.74,3.21,291,11,515.95
S00902,J0902,Liverpool,5,0.59,2.53,171,11,516.95
S00697,J0697,Liverpool,5,0.77,3.82,289,9,517.05
S00668,J0668,Glasgow,5,0.82,2.84,199,10,519.55
S00541,J0541,Sheffield,5,0.61,1.63,218,11,538.1
S00647,J0647,Bristol,5,0.98,4.66,244,10,539.8
S00863,J0863,Birmingham,5,0.94,4.22,171,11,560.95
S00234,J0234,Liverpool,4,0.56,2.62,48,4,117.6
S00619,J0619,Bristol,4,0.92,3.39,8,5,118.6
S00275,J0275,London,4,0.88,3.99,102,4,129.9
S00066,J0066,Leeds,4,0.57,1.54,23,5,130.35
S00535,J0535,Manchester,4,0.81,1.72,36,6,136.2
S00827,J0827,Nottingham,4,0.53,4.42,112,4,146.4
S00153,J0153,Nottingham,4,0.74,3.83,8,7,150.6
S00589,J0589,Liverpool,4,0.82,3.95,18,4,152.1
S00466,J0466,Glasgow,4,0.95,3.85,62,4,163.9
S00834,J0834,Liverpool,4,0.52,1.81,88,6,165.6
S00866,J0866,Glasgow,4,0.7,1.27,168,4,167.6
S00220,J0220,London,4,0.69,2.15,65,4,169.25
S00604,J0604,Sheffield,4,0.8,4.81,86,6,170.7
S00136,J0136,Bristol,4,0.76,4.22,124,4,171.8
S00135,J0135,Glasgow,4,0.54,4.29,162,4,172.9
S00940,J0940,Manchester,4,0.93,4.98,110,6,175.5
S00476,J0476,Leeds,4,0.86,3.64,79,4,175.55
S00813,J0813,Leeds,4,0.78,3.51,161,4,176.45
S00646,J0646,Glasgow,4,0.86,3.99,104,5,176.8
S00108,J0108,Newcastle,4,0.61,1.29,11,4,176.95
S00844,J0844,Birmingham,4,0.82,4.22,30,8,181.5
S00182,J0182,London,4,0.59,4.04,126,5,181.7
S00094,J0094,Sheffield,4,0.57,1.26,71,6,181.95
S00424,J0424,Glasgow,4,0.72,1.74,16,8,183.2
S00654,J0654,London,4,0.94,3.45,18,8,184.1
S00447,J0447,London,4,0.86,1.0,21,5,184.45
S00851,J0851,Leeds,4,0.6,2.49,76,4,190.2
S00009,J0009,Liverpool,4,0.57,3.48,55,5,194.75
S00764,J0764,Glasgow,4,0.62,3.93,106,5,197.7
S00822,J0822,Liverpool,4,0.8,2.94,6,5,197.7
S00513,J0513,Leeds,4,0.94,4.79,28,6,198.6
S00026,J0026,Glasgow,4,0.64,4.51,248,4,199.6
S00100,J0100,Manchester,4,0.64,4.82,100,4,201.0
S00254,J0254,Leeds,4,0.53,2.17,270,4,201.5
S00981,J0981,Manchester,4,0.93,1.92,105,4,203.25
S00427,J0427,Liverpool,4,0.81,1.83,17,9,205.65
S00172,J0172,Liverpool,4,0.84,3.75,31,7,209.95
S00342,J0342,Leeds,4,0.56,3.49,58,5,211.1
S00718,J0718,Liverpool,4,0.67,1.64,227,4,214.15
S00793,J0793,Birmingham,4,0.8,4.48,137,5,216.65
S00812,J0812,Manchester,4,0.76,3.24,31,7,216.95
S00874,J0874,London,4,0.79,3.68,123,4,219.35
S00801,J0801,Sheffield,4,0.84,3.77,128,6,219.6
S00890,J0890,Manchester,4,0.65,3.87,46,5,220.7
S00380,J0380,London,4,0.87,4.68,94,5,222.3
S00635,J0635,Nottingham,4,0.52,2.8,250,5,222.5
S00391,J0391,Liverpool,4,0.88,4.15,44,7,222.8
S00508,J0508,Leeds,4,0.62,4.91,31,10,223.95
S00144,J0144,London,4,0.63,1.54,18,6,224.1
S00423,J0423,Sheffield,4,0.76,3.36,81,5,226.45
S00314,J0314,Newcastle,4,0.57,3.72,197,5,228.65
S00367,J0367,Liverpool,4,0.77,3.54,141,8,231.45
S00617,J0617,Manchester,4,0.52,2.25,28,11,232.6
S00437,J0437,Liverpool,4,0.66,4.08,237,6,232.65
S00894,J0894,Bristol,4,0.79,1.97,284,5,232.8
S00621,J0621,Newcastle,4,0.73,4.79,24,9,235.8
S00267,J0267,Leeds,4,0.76,4.12,227,4,238.15
S00030,J0030,Bristol,4,0.8,4.92,298,5,239.1
S00510,J0510,Birmingham,4,0.53,3.8,54,8,240.3
S00069,J0069,Bristol,4,0.79,4.22,82,6,240.9
S00067,J0067,Nottingham,4,0.71,2.2,22,8,241.9
S00373,J0373,Birmingham,4,0.71,2.71,29,10,243.05
S00022,J0022,Glasgow,4,0.56,4.16,121,7,243.45
S00561,J0561,Newcastle,4,0.92,3.93,158,7,246.1
S00792,J0792,Birmingham,4,0.57,2.65,16,9,250.2
S00920,J0920,Birmingham,4,0.94,4.11,234,5,250.3
S00493,J0493,Sheffield,4,0.84,2.48,166,5,254.7
S00549,J0549,Liverpool,4,0.54,3.29,90,8,256.5
S00432,J0432,Glasgow,4,0.8,2.64,21,8,257.45
S00002,J0002,Nottingham,4,0.98,3.5,175,9,258.75
S00659,J0659,Liverpool,4,0.55,1.8,149,8,259.05
S00210,J0210,Birmingham,4,0.94,2.18,152,6,260.4
S00524,J0524,Sheffield,4,0.51,4.88,218,8,266.1
S00028,J0028,Sheffield,4,0.5,1.6,94,7,266.3
S00471,J0471,Leeds,4,0.94,4.23,103,5,266.35
S00791,J0791,Newcastle,4,0.95,3.0,157,6,268.65
S00310,J0310,Birmingham,4,0.89,4.83,162,9,270.9
S00044,J0044,Glasgow,4,0.63,2.63,67,9,273.15
S00263,J0263,Birmingham,4,0.87,4.39,141,5,273.45
S00934,J0934,Sheffield,4,0.97,3.67,120,10,274.0
S00450,J0450,Liverpool,4,0.99,1.22,26,6,275.7
S00248,J0248,Leeds,4,0.94,1.07,272,4,278.4
S00631,J0631,Liverpool,4,0.94,2.63,266,7,280.7
S00125,J0125,Leeds,4,1.0,1.49,24,11,285.8
S00413,J0413,London,4,0.6,2.13,49,6,286.05
S00265,J0265,Leeds,4,0.6,4.59,219,7,287.55
S00842,J0842,Sheffield,4,0.76,1.3,218,5,288.1
S00494,J0494,Liverpool,4,0.58,4.73,167,8,291.15
S00634,J0634,Glasgow,4,0.84,2.01,190,10,295.5
S00222,J0222,Bristol,4,0.76,1.23,46,11,295.7
S00687,J0687,Newcastle,4,0.96,3.34,124,8,295.8
S00991,J0991,Newcastle,4,0.99,4.22,220,6,297.0
S00233,J0233,London,4,0.75,2.97,105,7,299.25
S00140,J0140,Glasgow,4,0.99,4.1,228,9,300.6
S00025,J0025,London,4,0.94,2.1,67,11,305.15
S00651,J0651,Manchester,4,0.86,3.89,297,6,307.65
S00893,J0893,Liverpool,4,0.51,2.26,245,7,313.25
S00532,J0532,Liverpool,4,0.85,3.02,278,7,314.1
S00715,J0715,Glasgow,4,0.52,3.62,289,5,315.05
S00970,J0970,Glasgow,4,0.74,3.48,118,6,317.1
S00897,J0897,Nottingham,4,0.61,4.63,72,8,320.4
S00856,J0856,Nottingham,4,0.67,3.63,297,5,323.65
S00351,J0351,Newcastle,4,0.86,4.03,182,11,323.9
S00709,J0709,Leeds,4,0.51,1.22,185,11,325.25
S00016,J0016,Manchester,4,0.56,4.86,186,7,328.7
S00209,J0209,Birmingham,4,0.87,3.43,243,5,329.35
S00326,J0326,London,4,0.69,4.37,203,8,331.35
S00049,J0049,Nottingham,4,0.61,1.8,88,7,333.6
S00081,J0081,Bristol,4,0.82,3.96,270,6,337.5
S00293,J0293,Birmingham,4,0.79,4.24,145,7,338.25
S00823,J0823,Newcastle,4,0.8,2.33,81,8,340.45
S00312,J0312,Bristol,4,0.53,1.97,297,10,343.65
S00199,J0199,Newcastle,4,0.81,4.07,231,10,343.95
S00015,J0015,Liverpool,4,0.83,1.91,114,8,347.3
S00167,J0167,Leeds,4,0.96,2.74,169,8,348.05
S00885,J0885,Liverpool,4,0.86,4.56,262,8,349.9
S00406,J0406,Birmingham,4,0.7,2.13,174,8,358.3
S00138,J0138,Newcastle,4,0.89,3.08,219,8,362.55
S00093,J0093,Glasgow,4,0.98,2.63,233,7,363.85
S00368,J0368,Liverpool,4,0.9,1.89,199,11,364.55
S00976,J0976,Leeds,4,0.59,4.96,194,10,367.3
S00666,J0666,Liverpool,4,0.71,1.99,291,10,370.95
S00099,J0099,Nottingham,4,0.54,1.29,295,10,372.75
S00966,J0966,Newcastle,4,0.55,3.49,230,9,373.5
S00272,J0272,Nottingham,4,0.69,1.91,156,7,378.2
S00900,J0900,Birmingham,4,0.71,1.31,46,11,383.7
S00287,J0287,Liverpool,4,0.6,1.78,231,7,383.95
S00700,J0700,Sheffield,4,0.61,3.6,39,9,386.55
S00307,J0307,Liverpool,4,0.52,3.52,181,9,387.45
S00657,J0657,Newcastle,4,0.9,3.86,134,9,393.3
S00385,J0385,Glasgow,4,0.99,2.57,118,9,395.1
S00412,J0412,Liverpool,4,0.72,4.04,239,9,395.55
S00311,J0311,Manchester,4,0.5,3.12,150,11,397.5
S00554,J0554,Newcastle,4,0.94,1.21,246,9,398.7
S00670,J0670,Birmingham,4,0.8,3.43,274,9,402.3
S00868,J0868,Leeds,4,0.64,3.33,73,10,402.85
S00956,J0956,Leeds,4,0.94,1.52,252,10,403.4
S00195,J0195,Nottingham,4,0.67,1.84,117,11,404.65
S00789,J0789,Manchester,4,0.93,3.81,225,9,407.25
S00490,J0490,London,4,0.55,1.41,261,10,407.45
S00152,J0152,Newcastle,4,0.56,2.1,239,7,408.55
S00711,J0711,Newcastle,4,0.76,4.71,220,10,409.0
S00179,J0179,Newcastle,4,0.99,3.85,241,11,416.45
S00175,J0175,London,4,0.63,3.53,223,8,420.35
S00572,J0572,Leeds,4,0.76,3.57,266,7,420.7
S00047,J0047,Leeds,4,0.81,3.29,160,9,423.0
S00411,J0411,Bristol,4,0.55,3.07,137,11,424.65
S00073,J0073,Liverpool,4,0.66,1.04,118,11,427.1
S00181,J0181,Liverpool,4,0.78,4.86,194,11,428.3
S00283,J0283,Birmingham,4,1.0,4.85,214,9,429.3
S00379,J0379,Birmingham,4,0.73,2.59,180,9,432.0
S00187,J0187,Glasgow,4,0.77,4.13,185,10,433.25
S00528,J0528,Glasgow,4,0.56,4.27,209,11,435.05
S00301,J0301,Nottingham,4,0.73,2.88,189,9,436.05
S00020,J0020,Liverpool,4,0.54,4.48,141,11,437.45
S00658,J0658,London,4,0.83,1.37,235,9,438.75
S00919,J0919,Liverpool,4,0.58,4.26,268,8,440.6
S00766,J0766,Bristol,4,0.68,1.65,106,11,443.7
S00810,J0810,Birmingham,4,0.65,1.28,294,9,447.3
S00898,J0898,Newcastle,4,0.52,3.03,222,10,449.9
S00076,J0076,Bristol,4,0.6,4.31,136,10,451.2
S00907,J0907,Manchester,4,0.78,3.77,168,9,453.6
S00226,J0226,Birmingham,4,0.51,4.34,135,9,456.75
S00945,J0945,Sheffield,4,0.69,1.27,149,10,457.05
S00496,J0496,Sheffield,4,1.0,3.79,284,11,457.8
S00773,J0773,Nottingham,4,0.92,1.42,147,9,462.15
S00624,J0624,London,4,0.7,4.78,181,11,466.45
S00484,J0484,Nottingham,4,0.87,1.17,240,9,477.0
S00453,J0453,London,4,0.84,2.22,274,9,483.3
S00341,J0341,Bristol,4,0.77,1.29,265,9,488.25
S00057,J0057,Newcastle,4,0.7,2.79,228,9,489.6
S00128,J0128,Sheffield,4,0.89,2.8,260,9,495.0
S00539,J0539,London,4,0.82,1.53,106,11,498.7
S00553,J0553,London,4,0.53,3.7,206,10,502.7
S00064,J0064,Manchester,4,0.98,3.89,290,10,510.5
S00605,J0605,Bristol,4,0.95,2.19,215,11,514.75
S00839,J0839,Nottingham,4,0.96,4.87,145,11,516.25
S00568,J0568,Sheffield,4,0.63,2.33,147,11,517.15
S00042,J0042,Glasgow,4,0.54,4.46,181,11,532.45
S00694,J0694,London,4,0.93,2.82,297,11,551.65
S00978,J0978,Nottingham,4,0.71,2.77,200,11,574.0
S00109,J0109,Birmingham,4,0.94,2.61,267,11,582.15
S00259,J0259,Manchester,4,0.66,1.01,254,11,587.3
S00145,J0145,London,3,0.53,3.52,13,4,85.85
S00415,J0415,Liverpool,3,0.55,4.58,35,5,125.75
S00323,J0323,Glasgow,3,0.64,2.78,66,4,137.7
S00515,J0515,Glasgow,3,0.58,2.52,19,5,138.55
S00169,J0169,Manchester,3,0.75,2.51,80,4,140.0
S00322,J0322,Manchester,3,0.64,1.66,15,5,141.75
S00308,J0308,Sheffield,3,0.95,2.79,7,7,143.15
S00915,J0915,Liverpool,3,0.56,1.87,9,7,144.05
S00923,J0923,Bristol,3,0.64,1.35,71,4,147.95
S00783,J0783,Glasgow,3,0.65,3.47,114,4,155.3
S00250,J0250,Nottingham,3,0.86,4.23,63,4,156.35
S00281,J0281,Newcastle,3,0.59,4.97,19,4,156.55
S00811,J0811,Bristol,3,0.75,2.9,56,4,157.2
S00451,J0451,Birmingham,3,0.83,4.89,124,5,160.8
S00096,J0096,Bristol,3,0.83,1.44,101,4,161.45
S00536,J0536,Bristol,3,0.78,4.2,15,8,166.75
S00848,J0848,Nottingham,3,0.76,2.28,125,5,171.25
S00688,J0688,Birmingham,3,0.9,3.15,48,5,171.6
S00191,J0191,Sheffield,3,0.55,4.83,153,4,172.85
S00880,J0880,London,3,0.56,4.0,15,6,174.75
S00546,J0546,Glasgow,3,0.78,4.19,50,7,176.5
S00156,J0156,London,3,0.81,1.02,113,4,178.85
S00550,J0550,Newcastle,3,0.61,4.33,96,4,179.2
S00881,J0881,Newcastle,3,0.92,4.63,142,4,179.9
S00778,J0778,Newcastle,3,0.58,1.23,97,4,183.65
S00875,J0875,Glasgow,3,0.85,3.48,153,5,183.85
S00946,J0946,Birmingham,3,0.97,1.38,140,5,188.0
S00215,J0215,London,3,0.66,3.58,77,7,188.65
S00910,J0910,London,3,0.73,3.55,74,6,189.3
S00984,J0984,Leeds,3,0.9,4.72,243,4,189.35
S00111,J0111,Birmingham,3,0.94,1.93,155,4,189.75
S00838,J0838,Leeds,3,0.88,3.17,51,7,190.95
S00087,J0087,London,3,0.62,4.38,12,9,194.4
S00344,J0344,London,3,0.7,1.76,219,4,194.55
S00420,J0420,Leeds,3,0.82,2.91,86,4,194.7
S00478,J0478,Liverpool,3,0.95,3.18,134,4,196.3
S00497,J0497,Sheffield,3,0.54,3.86,16,8,199.2
S00402,J0402,Sheffield,3,0.78,1.16,173,5,202.85
S00556,J0556,London,3,0.67,2.15,229,4,203.05
S00491,J0491,Sheffield,3,0.66,3.06,62,4,203.9
S00680,J0680,Manchester,3,1.0,3.47,68,6,204.6
S00501,J0501,London,3,0.61,3.92,31,8,205.95
S00682,J0682,Sheffield,3,0.85,3.95,125,6,206.25
S00313,J0313,Glasgow,3,0.61,3.0,157,4,210.65
S00280,J0280,Newcastle,3,0.75,4.14,43,6,211.35
S00507,J0507,London,3,0.95,2.34,83,5,212.35
S00926,J0926,Manchester,3,0.59,2.73,134,5,215.3
S00861,J0861,Nottingham,3,0.91,2.94,104,5,216.8
S00983,J0983,Birmingham,3,0.82,4.71,16,10,217.2
S00972,J0972,Newcastle,3,0.82,3.5,70,6,217.5
S00615,J0615,Nottingham,3,0.77,3.83,217,4,217.65
S00386,J0386,Liverpool,3,0.9,4.02,44,9,217.8
S00288,J0288,London,3,0.78,1.56,174,4,218.3
S00309,J0309,London,3,0.95,1.54,146,5,220.7
S00588,J0588,Newcastle,3,0.89,2.61,192,6,224.4
S00590,J0590,Liverpool,3,0.84,3.82,16,5,227.2
S00755,J0755,Newcastle,3,0.8,1.64,173,6,233.85
